tenant,building,expiry_year,sf,type
Indeed,Domain Tower 2,2026,310000,direct
Atlassian,Centro Southern,2026,158065,sublease
Meta,Sixth & Guadalupe,2026,142000,sublease
Oracle,Waterfront,2027,265000,direct
Google,500 W 2nd St,2027,200000,direct
Cloudflare,Frost Bank Tower,2027,86000,sublease
Apple,Parmer campus,2028,360000,direct
Dell,Round Rock 3,2028,180000,direct
NXP Semiconductors,Champions Office Park,2028,225000,direct
RetailMeNot,Domain Tower 1,2028,74000,sublease
Tesla,Gigafactory Office,2029,210000,direct
Visa,Domain 8,2029,120000,direct
General Motors,Domain 11,2030,135000,direct
Amazon,Domain 12,2030,98000,direct
BigCommerce,Riata Corporate Park,2031,72000,direct
Q2 Holdings,Aspen Lake,2032,156000,direct
